Subject_Name,Evaluation_Name,Student_Name,Grade
Anthropology,TP6,Alice Black,2.0
Anthropology,TP5,Alice Black,2.0
Anthropology,TP2,Alice Black,2.0
Anthropology,TP1,Alice Black,2.0
Anthropology,TP10,Alice Black,2.0
Anthropology,TP9,Alice Black,2.0
Anthropology,Segundo Parcial,Alice Black,2.0
Anthropology,TP7,Alice Black,2.0
Anthropology,TP Final,Alice Black,2.0
Anthropology,Primer Parcial,Alice Black,2.0
Anthropology,TP8,Alice Black,2.0
Anthropology,TP3,Alice Black,2.0
Anthropology,Examen Final,Alice Black,2.0
Anthropology,TP4,Alice Black,2.0
Anthropology,Primer Parcial,Alice Blue,2.0
Anthropology,TP3,Alice Blue,2.0
Anthropology,Examen Final,Alice Blue,2.0
Anthropology,TP5,Alice Blue,2.0
Anthropology,TP6,Alice Blue,2.0
Anthropology,TP4,Alice Blue,2.0
Anthropology,TP8,Alice Blue,2.0
Anthropology,TP1,Alice Blue,2.0
Anthropology,TP Final,Alice Blue,2.0
Anthropology,TP10,Alice Blue,2.0
Anthropology,TP9,Alice Blue,2.0
Anthropology,TP2,Alice Blue,2.0
Anthropology,TP7,Alice Blue,2.0
Anthropology,Segundo Parcial,Alice Blue,2.0
Anthropology,TP6,Alice Davis,2.0
Anthropology,TP8,Alice Davis,2.0
Anthropology,Examen Final,Alice Davis,2.0
Anthropology,TP3,Alice Davis,2.0
Anthropology,TP4,Alice Davis,2.0
Anthropology,TP10,Alice Davis,2.0
Anthropology,TP5,Alice Davis,2.0
Anthropology,TP2,Alice Davis,2.0
Anthropology,TP9,Alice Davis,2.0
Anthropology,TP Final,Alice Davis,2.0
Anthropology,TP7,Alice Davis,2.0
Anthropology,Segundo Parcial,Alice Davis,2.0
Anthropology,Primer Parcial,Alice Davis,2.0
Anthropology,TP1,Alice Davis,2.0
Anthropology,TP5,Alice Green,2.0
Anthropology,TP6,Alice Green,2.0
Anthropology,TP4,Alice Green,2.0
Anthropology,TP8,Alice Green,2.0
